ITERACAO,INSTANCIA,TAM_POPULACAO,QTD_TURMAS_HEURISTICA,QTD_REPT_HEURISTICA,PESO_JANELA,PESO_SEXTO,TEMPO_EXEC
ITERACAO,INSTANCIA,TAM_POPULACAO,QTD_TURMAS_HEURISTICA,QTD_REPT_HEURISTICA,PESO_JANELA,PESO_SEXTO,TEMPO_EXEC
370,,50,2,2,1,1,0,00
371,,50,2,2,1,2,0,00
372,,50,2,2,1,5,0,00
373,,50,2,2,2,1,0,00
374,,50,2,2,2,2,0,00
375,,50,2,2,2,5,0,00
376,,50,2,2,5,1,0,00
377,,50,2,2,5,2,0,00
378,,50,2,2,5,5,0,00
379,,50,2,5,1,1,0,00
380,,50,2,5,1,2,0,00
381,,50,2,5,1,5,0,00
382,,50,2,5,2,1,0,00
383,,50,2,5,2,2,0,00
384,,50,2,5,2,5,0,00
385,,50,2,5,5,1,0,00
386,,50,2,5,5,2,0,00
387,,50,2,5,5,5,0,00
388,,50,2,10,1,1,0,00
389,,50,2,10,1,2,0,00
390,,50,2,10,1,5,0,00
391,,50,2,10,2,1,0,00
392,,50,2,10,2,2,0,00
393,,50,2,10,2,5,0,00
394,,50,2,10,5,1,0,00
395,,50,2,10,5,2,0,00
396,,50,2,10,5,5,0,00
397,,50,1000,1,1,1,0,00
398,,50,1000,1,1,2,0,00
399,,50,1000,1,1,5,0,00
400,,50,1000,1,2,1,0,00
401,,50,1000,1,2,2,0,00
402,,50,1000,1,2,5,0,00
403,,50,1000,1,5,1,0,00
404,,50,1000,1,5,2,0,00
405,,50,1000,1,5,5,0,00
406,,50,1000,2,1,1,0,00
407,,50,1000,2,1,2,0,00
408,,50,1000,2,1,5,0,00
409,,50,1000,2,2,1,0,00
410,,50,1000,2,2,2,0,00
411,,50,1000,2,2,5,0,00
412,,50,1000,2,5,1,0,00
413,,50,1000,2,5,2,0,00
414,,50,1000,2,5,5,0,00
415,,50,1000,5,1,1,0,00
416,,50,1000,5,1,2,0,00
417,,50,1000,5,1,5,0,00
418,,50,1000,5,2,1,0,00
419,,50,1000,5,2,2,0,00
420,,50,1000,5,2,5,0,00
421,,50,1000,5,5,1,0,00
422,,50,1000,5,5,2,0,00
423,,50,1000,5,5,5,0,00
424,,50,1000,10,1,1,0,00
425,,50,1000,10,1,2,0,00
426,,50,1000,10,1,5,0,00
427,,50,1000,10,2,1,0,00
428,,50,1000,10,2,2,0,00
429,,50,1000,10,2,5,0,00
430,,50,1000,10,5,1,0,00
431,,50,1000,10,5,2,0,00
432,,50,1000,10,5,5,0,00
433,,50,0,1,1,1,0,00
434,,50,0,1,1,2,0,00
